_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-9.443380495790331,GO:0048821,M1,1,0,GO Biological Processes,19,erythrocyte development,19_GO:0042592 homeostatic process,-9.443380495790331,21.254464285714285,13.247389284686056,21160,56,160,9,5.625,1.8215024275992606,11656|11733|13828|13829|15122|19743|20533|20679|110257,Alas2|Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Sox6|Hba-a2,-5.181024344191639,0,1,1,1,-9.443380495790331,21.254464285714285,
1,-8.219016352543264,GO:0030218,M1,1,0,GO Biological Processes,19,erythrocyte differentiation,19_GO:0042592 homeostatic process,-8.219016352543264,10.856343283582092,9.990513324791396,21160,134,160,11,6.875,2.000366177416025,11656|11733|13828|13829|15122|19743|19824|20533|20679|70026|110257,Alas2|Ank1|Epb42|Dmtn|Hba-a1|Rhag|Trim10|Slc4a1|Sox6|Tspo2|Hba-a2,-4.257690196608553,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-7.796636870938535,GO:0034101,M1,1,0,GO Biological Processes,19,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-7.796636870938535,9.896258503401363,9.447566212329928,21160,147,160,11,6.875,2.000366177416025,11656|11733|13828|13829|15122|19743|19824|20533|20679|70026|110257,Alas2|Ank1|Epb42|Dmtn|Hba-a1|Rhag|Trim10|Slc4a1|Sox6|Tspo2|Hba-a2,-4.011401974059505,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-7.401439685922163,GO:0048872,M1,1,0,GO Biological Processes,19,homeostasis of number of cells,19_GO:0042592 homeostatic process,-7.401439685922163,5.496103896103896,7.771307614484254,21160,385,160,16,10.0,2.3717082451262845,11656|11733|12044|13828|13829|15122|18089|19743|19824|20533|20679|20739|68632|70026|72049|110257,Alas2|Ank1|Bcl2a1a|Epb42|Dmtn|Hba-a1|Nkx2-3|Rhag|Trim10|Slc4a1|Sox6|Spta1|Myct1|Tspo2|Tnfrsf13c|Hba-a2,-3.7584368260921335,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-7.321822973354807,GO:0061515,M1,1,0,GO Biological Processes,19,myeloid cell development,19_GO:0032502 developmental process,-7.321822973354807,12.3984375,9.770311920988938,21160,96,160,9,5.625,1.8215024275992606,11656|11733|13828|13829|15122|19743|20533|20679|110257,Alas2|Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Sox6|Hba-a2,-3.7584368260921335,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-6.723014092856411,GO:0002262,M1,1,0,GO Biological Processes,19,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-6.723014092856411,7.779411764705883,8.127939284261354,21160,187,160,11,6.875,2.000366177416025,11656|11733|13828|13829|15122|19743|19824|20533|20679|70026|110257,Alas2|Ank1|Epb42|Dmtn|Hba-a1|Rhag|Trim10|Slc4a1|Sox6|Tspo2|Hba-a2,-3.2783631633108827,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-6.174453154326589,GO:0030099,M1,1,0,GO Biological Processes,19,myeloid cell differentiation,19_GO:0032502 developmental process,-6.174453154326589,5.1288088642659275,6.906453071809598,21160,361,160,14,8.75,2.2338832500826893,11656|11733|13828|13829|15122|18089|19743|19824|20533|20679|24108|70026|83433|110257,Alas2|Ank1|Epb42|Dmtn|Hba-a1|Nkx2-3|Rhag|Trim10|Slc4a1|Sox6|Ubd|Tspo2|Trem2|Hba-a2,-2.9120970027278963,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-2.6335534745138887,GO:0060586,M1,1,0,GO Biological Processes,19,multicellular organismal-level iron ion homeostasis,19_GO:0042592 homeostatic process,-2.6335534745138887,11.335714285714285,5.341633317238637,21160,35,160,3,1.875,1.072334996048343,11733|13828|19743,Ank1|Epb42|Rhag,-0.07876749901313294,0,1,0,0,-9.443380495790331,21.254464285714285,
1,-6.667042415513503,R-MMU-1247673,M1,1,0,Reactome Gene Sets,6,Erythrocytes take up oxygen and release carbon dioxide,,-6.667042415513503,66.125,16.08106932402392,21160,8,160,4,2.5,1.2342761036332186,19743|20533|100503605|101488143,Rhag|Slc4a1|Hbb-bs|Hbb-bt,-3.2783631633108827,0,2,1,1,-6.667042415513503,66.125,
1,-5.827801439709678,R-MMU-1237044,M1,1,0,Reactome Gene Sets,6,Erythrocytes take up carbon dioxide and release oxygen,,-5.827801439709678,44.083333333333336,13.03056306455523,21160,12,160,4,2.5,1.2342761036332186,19743|20533|100503605|101488143,Rhag|Slc4a1|Hbb-bs|Hbb-bt,-2.6446265341586104,0,2,0,0,-6.667042415513503,66.125,
